"","Number","Name_of_Covered_Entity","State","Business_Associate_Involved","Individuals_Affected","Date_of_Breach","Type_of_Breach","Location_of_Breached_Information","Date_Posted_or_Updated","Summary","breach_start","breach_end","year"
"339",338,"Ashley Industrial Molding, Inc. Employee Welfare Benefit Plan ","IN","AssureCare Risk Management, Inc.",506,"5/9/2011","Hacking/IT Incident","Network Server",2014-01-23,"",2011-05-09,NA,2011
"340",339,"Monmouth Medical Center","NJ","MedAssets",6443,"6/24/2011","Theft","Other Portable Electronic Device, Other",2014-06-19,"An unencrypted hard drive containing the electronic protected health information (ePHI) of 6,443 individuals was stolen from an employee of the covered entity's (CE) business associate (BA), MedAssets.  The ePHI included names, dates of birth, social security number, account numbers, medical record numbers, charges incurred, amounts paid, admission and discharge dates, and information regarding health insurance and eligibility for applicable governmental benefit programs.  Upon discovery of the breach, the CE, Monmouth Medical Center, filed a police report, provided breach notification to HHS, the media, and affected individuals, and posted substitute notification on its website.  As a result of OCR's investigation, the BA retrained the employee, instructed all employees to stop using any type of external storage device that contains ePHI, and recalled and destroyed all unencrypted external hard drives that contained ePHI.  In addition, the BA improved technical safeguards by encrypting external hard drives and installing a new software system that monitors, controls and encrypts data leaving the BA's computers.  The BA also hired an IT security analyst to supplement its security program.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.



",2011-06-24,NA,2011
"341",340,"Clara Maass Medical Center","NJ","Med Assets",8795,"6/24/2011","Theft","Other Portable Electronic Device, Other",2014-06-19,"An unencrypted hard drive containing the electronic protected health information (ePHI) of 8,795 individuals was stolen from an employee of the covered entity's (CE) business associate (BA), MedAssets.  The ePHI included names, dates of birth, social security number, account numbers, medical record numbers, charges incurred, amounts paid, admission and discharge dates, and information regarding health insurance and eligibility for applicable governmental benefit programs.  Upon discovery of the breach, the CE, Clara Maass Medical Center, filed a police report, provided breach notification to HHS, the media, and affected individuals, and posted substitute notification on its website.  As a result of OCR's investigation, the BA retrained the employee, instructed all employees to stop using any type of external storage device that contains ePHI, and recalled and destroyed all unencrypted external hard drives that contained ePHI.  In addition, the BA improved technical safeguards by encrypting external hard drives and installing a new software system that monitors, controls and encrypts data leaving the BA's computers.  The BA also hired an IT security analyst to supplement its security program.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.



",2011-06-24,NA,2011
"342",341,"Newark Beth Israel Medical Center","NJ","MedAssets",15015,"6/24/2011","Theft","Other Portable Electronic Device, Other",2014-06-19,"An unencrypted hard drive containing the electronic protected health information (ePHI) of 15,015 individuals was stolen from an employee of the covered entity's (CE) business associate (BA), MedAssets.  The ePHI included names, dates of birth, social security number, account numbers, medical record numbers, charges incurred, amounts paid, admission and discharge dates, and information regarding health insurance and eligibility for applicable governmental benefit programs.  Upon discovery of the breach, the CE, Newark Beth Israel Medical Center, filed a police report, provided breach notification to HHS, the media, and affected individuals, and posted substitute notification on its website.  As a result of OCR's investigation, the BA retrained the employee, instructed all employees to stop using any type of external storage device that contains ePHI, and recalled and destroyed all unencrypted external hard drives that contained ePHI.  In addition, the BA improved technical safeguards by encrypting external hard drives and installing a new software system that monitors, controls and encrypts data leaving the BA's computers.  The BA also hired an IT security analyst to supplement its security program.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.



",2011-06-24,NA,2011
"343",342,"Saint Barnabas Medical Center","NJ","MedAssets",6179,"6/24/2011","Theft","Other Portable Electronic Device, Other",2014-06-19,"An unencrypted hard drive containing the electronic protected health information (ePHI) of 6,179 individuals was stolen from an employee of the covered entity's (CE) business associate (BA), MedAssets.  The ePHI included names, dates of birth, social security number, account numbers, medical record numbers, charges incurred, amounts paid, admission and discharge dates, and information regarding health insurance and eligibility for applicable governmental benefit programs.  Upon discovery of the breach, the CE, Saint Barnabas Medical Center, filed a police report, provided breach notification to HHS, the media, and affected individuals, and posted substitute notification on its website.  As a result of OCR's investigation, the BA retrained the employee, instructed all employees to stop using any type of external storage device that contains ePHI, and recalled and destroyed all unencrypted external hard drives that contained ePHI.  In addition, the BA improved technical safeguards by encrypting external hard drives and installing a new software system that monitors, controls and encrypts data leaving the BA's computers.  The BA also hired an IT security analyst to supplement its security program.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.



",2011-06-24,NA,2011
"344",343,"Washington State Department of Social and Health Services","WA","",3950,"7/1/2011","Unauthorized Access/Disclosure","Paper",2014-01-23,"",2011-07-01,NA,2011
"345",344,"St. Francis Hospital","DE","",948,"6/1/2011","Loss","Other Portable Electronic Device, Other",2014-06-10,"",2011-06-01,NA,2011
"346",345,"Reznick Group, P.C.","MD","Assure Care Risk Management",2459,"5/9/2011","Hacking/IT Incident","Network Server",2014-03-25,"",2011-05-09,NA,2011
"347",346,"The Neurological Institute of Savannah & Center for Spine","GA","",63425,"7/2/2011","Theft","Other Portable Electronic Device, Other",2014-01-23,"",2011-07-02,NA,2011
"348",347,"Kimball Medical Center","NJ","MedAssets",6785,"6/24/2011","Theft","Other Portable Electronic Device, Other",2014-06-19,"An unencrypted hard drive containing the electronic protected health information (ePHI) of 6,785 individuals was stolen from an employee of the covered entity's (CE) business associate (BA), MedAssets.  The ePHI included names, dates of birth, social security number, account numbers, medical record numbers, charges incurred, amounts paid, admission and discharge dates, and information regarding health insurance and eligibility for applicable governmental benefit programs.  Upon discovery of the breach, the CE, Kimball Medical Center, filed a police report, provided breach notification to HHS, the media, and affected individuals, and posted substitute notification on its website.  As a result of OCR's investigation, the BA retrained the employee, instructed all employees to stop using any type of external storage device that contains ePHI, and recalled and destroyed all unencrypted external hard drives that contained ePHI.  In addition, the BA improved technical safeguards by encrypting external hard drives and installing a new software system that monitors, controls and encrypts data leaving the BA's computers.  The BA also hired an IT security analyst to supplement its security program.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.



",2011-06-24,NA,2011
"349",348,"Community Medical Center","NJ","MedAssets",6950,"6/24/2011","Theft","Other Portable Electronic Device, Other",2014-06-19,"An unencrypted hard drive containing the electronic protected health information (ePHI) of 6,950 individuals was stolen from an employee of the covered entity's (CE) business associate (BA), MedAssets.  The ePHI included names, dates of birth, social security number, account numbers, medical record numbers, charges incurred, amounts paid, admission and discharge dates, and information regarding health insurance and eligibility for applicable governmental benefit programs.  Upon discovery of the breach, the CE, Community Medical Center, filed a police report, provided breach notification to HHS, the media, and affected individuals, and posted substitute notification on its website.  As a result of OCR's investigation, the BA retrained the employee, instructed all employees to stop using any type of external storage device that contains ePHI, and recalled and destroyed all unencrypted external hard drives that contained ePHI.  In addition, the BA improved technical safeguards by encrypting external hard drives and installing a new software system that monitors, controls and encrypts data leaving the BA's computers.  The BA also hired an IT security analyst to supplement its security program.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.



",2011-06-24,NA,2011
"350",349,"American Health Medicare ","PR","Accuprint ",5848,"6/1/2011","Theft","Other",2014-06-03,"The covered entity's (CE) business associate (BA) erroneously sent explanation of benefits letters (EOBs) containing the protected health information (PHI) of 5,848 individuals to other individuals.  The PHI included names, addresses, current procedural terminology codes (CPT), explanations of CPT codes, providers' names, and dates of service.  Upon discovery of the breach, the CE provided notice to the individuals affected by the breach but did not notify the media.  As a result of OCR's investigation, OCR provided technical assistance regarding the requirements of the Breach Notification Rule to the CE and the CE published a media notice.  In addition, the CE developed policies and procedures requiring quality control checks on the BA.  In addition, the BA adopted a new software system that validates the contents of the EOBs prior to mailing.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use of PHI and required the BA to safeguard all PHI.",2011-06-01,NA,2011
"351",350,"Texas Health Presbtyerian Hospital Flower Mound","TX","Texas Health Partners",10345,"6/21/2011","Theft","Laptop",2014-01-23,"",2011-06-21,NA,2011
"352",351,"Capron Rescue Squad District","IL","",815,"2/5/2011","Unauthorized Access/Disclosure","Laptop",2014-01-23,"",2011-02-05,NA,2011
"353",352,"Cook County Health & Hospitals System","IL","MedAssets",32008,"6/24/2011","Theft","Other Portable Electronic Device, Other",2014-01-23,"",2011-06-24,NA,2011
"354",353,"Lexington VAMC","KY","",1432,"5/23/2011","Theft","Laptop, Other Portable Electronic Device, Paper",2014-06-03,"The covered entity's (CE) workforce member impermissibly stored the protected health information (PHI) of 1,432 individuals in a personal computer and other portable electronic media in order to conduct research. The PHI included social security numbers, names, initials, ages, and diagnoses.  Additional PHI was found in the workforce member's residence.  The CE provided breach notification to a total of 1,890 affected individuals and HHS.  Following the breach, the responsible workforce member is no longer employed by the CE.



OCR opened a compliance review of VA Medical Centers and is consolidating the investigation of this incident into the compliance review.  

",2011-05-23,NA,2011
"355",354,"Dr. Victoria Falcone, Falcone Cosmetic Services, PC, Falcone Cosmetic Services of NJ, PC","PA","SpaMed Solutions, LLC, Edward McMenamin President,",3000,"8/14/2011","Theft, Unauthorized Access/Disclosure","Laptop, Desktop Computer, Network Server, E-mail, Other Portable Electronic Device, Other, Electronic Medical Record, Paper",2014-06-10,"",2011-08-14,NA,2011
"356",355,"HEALTH RESEARCH INSTITUTE, INC., PFEIFFER TREATMENT CENTER","IL","",2000,"7/1/2011","Theft","Desktop Computer, Network Server",2014-01-23,"",2011-07-01,NA,2011
"357",356,"Stanford Hospital & Clinics","CA","Multi-Speciality Collection Services, LLC",19651,"9/9/2010","Unauthorized Access/Disclosure","Other",2014-01-23,"",2010-09-09,NA,2010
"358",357,"Muir Orthopaedic Specialists, A Medical Group Inc.","CA","",1800,"7/27/2011","Theft","Paper",2014-01-23,"",2011-07-27,NA,2011
"359",358,"NEA Baptist Clinic","AR","",3116,"7/12/2011","Hacking/IT Incident","Network Server",2014-01-23,"",2011-07-12,NA,2011
"360",359,"Jonathan Noel MD","IN","",2059,"7/13/2011","Theft","Other Portable Electronic Device, Other",2014-01-23,"",2011-07-13,NA,2011
"361",360,"Texas Health and Human Services Commission","TX","",1696,"3/10/2011","Theft","Laptop",2014-01-23,"An unencrypted laptop was stolen from an employee's vehicle.  The laptop contained the ePHI of 1,696 patients.  The information at issue included patient names, dates of birth, gender, Medicaid identification numbers, procedure codes and diagnosis. Following discovery of the breach, the CE notified affected patients and notified the media. Following the breach, the CE confirmed encryption of laptops per CE's policy and sanctioned three involved employees.   

",2011-03-10,NA,2011
"362",361,"University of Wisconsin Oshkosh","WI","Living Healthy Community Clinic",3000,"7/18/2011","Hacking/IT Incident","Desktop Computer",2014-01-23,"",2011-07-18,NA,2011
"363",362,"Centro de Ortodoncia Inc.","PR","",2000,"5/6/2010","Theft","Paper",2014-06-20,"OCR opened an investigation of the covered entity (CE), Dr. Pedro Valentin, after it reported boxes containing the protected health information (PHI) of 2,000 individuals were moved from the CE's office.  The PHI included names, account numbers, responsible party in charge of account, and method of payment.  OCR's investigation revealed that the individual who removed the PHI was the CE's wife and business partner.  The CE advised OCR that he knew his wife/partner was removing the boxes for the purpose of ascertaining the amount of monies the CE was receiving and that he is in the process of dissolving the partnership.  OCR concluded that the actions alleged in the breach report did not amount to a breach.",2010-05-06,NA,2010
"364",363,"John T. Melvin, M.D.& Associates","TX","",2541,"8/9/2011","Theft","Paper",2014-03-13,"",2011-08-09,NA,2011
"365",364,"Diversified Resources, Inc.","GA","",863,"8/11/2011","Theft","Laptop",2014-01-23,"",2011-08-11,NA,2011
"366",365,"VA Gulf Coast Veterans Health Care System","MS","",1797,"7/21/2011","Theft","Paper",2014-06-20,"The covered entity (CE), U.S. Department of Veterans Affairs (VA), Gulf Coast Veterans Health Care System, Biloxi Veterans Affairs Medical Center (Biloxi VAMC) reported that the office of an employee was vandalized.  Paper files were found on the office floor, and the protected health information (PHI) of approximately 1,814 individuals was compromised.  The PHI included full names, social security numbers, dates of birth, and medical diagnoses.  The CE provided breach notification to HHS, the media and affected individuals.  Following the breach, VA police at the facility reviewed procedures and continued foot patrols to ensure office doors are locked during non-business hours.  The CE provided additional training to workforce members of the affected department on its physical security policies and procedures to improve safeguards for PHI.  OCR obtained assurances that the CE implemented the corrective action listed above.



",2011-07-21,NA,2011
"367",366,"Freda J Bowman  MD PA","TX","",1300,"9/20/2011","Unauthorized Access/Disclosure, Hacking/IT Incident","Network Server",2014-01-23,"",2011-09-20,NA,2011
"368",367,"Bonney Lake Medical Center and Mythili R. Ramachandran, MD","WA","",2367,"8/12/2011","Theft","Laptop, Desktop Computer",2014-02-14,"",2011-08-12,NA,2011
"369",368,"United States Steel Corporation Plan for Active Employee Insurance Benefits and the United States Steel Corporation Plan for Retiree Insurance Benefits","PA","Benefits Administration Services, Inc.",4000,"8/15/2011","Loss","Other Portable Electronic Device, Other",2014-03-24,"",2011-08-15,NA,2011
"370",369,"VA Illiana Health Care System","IL","",518,"7/14/2011","Loss","Paper",2014-01-23,"",2011-07-14,NA,2011
"371",370,"Health Texas Provider Network","TX","",1259,"7/27/2011","Theft","Laptop",2014-03-13,"",2011-07-27,NA,2011
"372",371,"Blue Cross of Northeastern Pennsylvania","PA","AllOne Health Management Solutions, Inc.",507,"9/9/2011","Theft, Unauthorized Access/Disclosure","Laptop, Paper",2014-03-24,"",2011-09-09,NA,2011
"373",372,"NYU Hospital for Joint Diseases Inventory Management Department","NY","",2600,"6/23/2011","Theft","Paper",2014-06-20,"A box containing 2,600 paper records of tissue implants used in surgeries was discarded by a waste disposal contractor of the covered entity (CE), NYU Hospital for Joint Diseases Inventory Management Department, when the box was not property secured.  The box contained the protected health information (PHI) of 2,239 individuals and included names, dates of birth, dates of surgery, surgeon names, procedures, and types and serial numbers of the tissues used in the surgeries.  Upon discovery of the breach, the CE contacted the waste disposal contractor and determined that the documents were discarded and buried in a landfill out of state.  The CE provided breach notification to HHS, the media, and affected individuals, and posted substitute notice on its website.  As a result of OCR's investigation, the CE improved safeguards by storing all tissue records in a locked cabinet and requiring management to store the keys.  In addition, the CE counseled the employees involved in the incident and retrained all staff on its policies and procedures for safeguarding PHI.  The CE also implemented a plan to conduct reviews of HIPAA compliance, including both physical access and physical security risks.",2011-06-23,NA,2011
"374",373,"WAYNE HIGHLANDS SCHOOL DISTRICT","PA","FIRST PRIORITY LIFE INSURANCE COMPANY",579,"9/9/2011","Theft, Unauthorized Access/Disclosure","Paper",2014-06-10,"",2011-09-09,NA,2011
"375",374,"Summit Medical Group, PLLC","TN","",731,"9/4/2011","Theft","Paper",2014-01-23,"",2011-09-04,NA,2011
"376",375,"MAPFRE Life","PR","",2209,"8/5/2011","Theft","Other",2014-03-13,"",2011-08-05,NA,2011
"377",376,"American Continental Insurance Company","TN","Futurity First Insurance Group",690,"7/28/2011","Theft","Other Portable Electronic Device, Other",2014-01-23,"",2011-07-28,NA,2011
"378",377,"United of Omaha Life Insurance Company","NE","Futurity First Insurance Group",1631,"7/28/2011","Loss","Other Portable Electronic Device, Other",2014-01-23,"",2011-07-28,NA,2011
"379",378,"Mutual of Omaha Insurance Company","NE","Futurity First Insurance Group",705,"7/28/2011","Theft","Other Portable Electronic Device, Other",2014-01-23,"",2011-07-28,NA,2011
"380",379,"Henry Ford Health System","MI","",520,"8/8/2011","Theft","Desktop Computer",2014-01-23,"",2011-08-08,NA,2011
"381",380,"Indiana University","IN","",3266,"8/16/2011","Theft","Laptop",2014-01-23,"",2011-08-16,NA,2011
"382",381,"Adult & Pediatric Dermatology, PC","MA","",2200,"9/14/2011","Theft","Other Portable Electronic Device, Other",2014-01-23,"",2011-09-14,NA,2011
"383",382,"The Nemours Foundation","FL","",1055489,"8/10/2011","Loss","Other",2014-01-23,"",2011-08-10,NA,2011
"384",383,"California Industrial Medicine, Inc.","CA","Thomas J O'Laughlin, MD",700,"9/28/2011","Theft, Unauthorized Access/Disclosure","Paper",2014-02-14,"",2011-09-28,NA,2011
"385",384,"InStep Foot Clinic, P.A.","MN","",2600,"8/28/2011","Theft","Laptop, Electronic Medical Record",2014-01-23,"",2011-08-28,NA,2011
"386",385,"North Memorial","MN","Accretive Health, Inc",6697,"7/25/2011","Theft","Laptop",2014-01-23,"",2011-07-25,NA,2011
"387",386,"Lahey Clinic Hospital, Inc.","MA","",599,"8/12/2011","Theft","Laptop",2014-03-13,"",2011-08-12,NA,2011
"388",387,"UnitedHealth Group health plan single affiliated covered entity","MN","Futurity First Insurance Group",3994,"7/28/2011","Theft","Other",2014-01-23,"",2011-07-28,NA,2011
"389",388,"Good Samaritan Hospital","MD","",1500,"9/9/2011","Theft","Paper",2014-01-23,"",2011-09-09,NA,2011
"390",389,"Amerigroup Community Care of New Mexico, Inc","NM","",1537,"7/15/2011","Theft","Paper",2014-01-23,"",2011-07-15,NA,2011
"391",390,"Florida Hospital","FL","",12784,"8/10/2011","Unauthorized Access/Disclosure","Electronic Medical Record",2014-02-19,"",2011-08-10,NA,2011
"392",391,"Thomas Jefferson University Hospitals, Inc.","PA","",3150,"9/6/2011","Theft","Other",2014-01-23,"",2011-09-06,NA,2011
"393",392,"Lankenau Medical Center","PA","",500,"9/6/2011","Theft","Other",2014-01-23,"",2011-09-06,NA,2011
"394",393,"Spectrum Health Ssytems, Inc.  ","MA","",14750,"8/24/2011","Theft","Desktop Computer",2014-03-13,"",2011-08-24,NA,2011
"395",394,"Conway Regional Medical Center","AR","",1472,"8/24/2011","Loss","Other",2014-01-23,"",2011-08-24,NA,2011
"396",395,"Concordia Plan Services","MO","HITS Scanning Solutions, Inc.",7059,"5/10/2011","Loss","Other",2014-01-23,"",2011-05-10,NA,2011
"397",396,"Stone Oak Urgent Care & Family Practice","TX","Stone Oak Urgent Care & Family Practice",6672,"10/23/2011","Theft, Loss","Desktop Computer",2014-01-23,"",2011-10-23,NA,2011
"398",397,"Indiana University School of Optometry","IN","",757,"8/12/2011","Unauthorized Access/Disclosure","Network Server",2014-01-23,"",2011-08-12,NA,2011
"399",398,"Brevard Emergency Services, P.A.","FL","",2200,"8/26/2011","Theft","Paper",2014-04-23,"",2011-08-26,NA,2011
"400",399,"Georgetown University Hospital","DC","",1526,"9/9/2011","Loss","Other Portable Electronic Device, Other",2014-03-24,"",2011-09-09,NA,2011
"401",400,"Morris Heights Health Center","NY","",927,"8/27/2011","Theft","Laptop",2014-06-03,"An unencrypted laptop computer containing the electronic protected health information (ePHI) of 927 individuals was stolen from the covered entity's (CE) school based health center.  The ePHI included names, dates of birth, sex, ethnicities, height, weight, body mass index data, complete physical examination information such as asthma and obesity information, health action plans, and enrollment dates.  Upon discovery of the breach, the CE filed a police report to recover the stolen laptop.  As a result of OCR's investigation, the CE purchased locks to physically secure its' school health computers to the desks where the computers are located.  In addition, the CE encrypted all portable devices' hard drives and installed software to track portable devices. The CE also retrained all staff on its policies and procedures for using and securing ePHI. ",2011-08-27,NA,2011
"402",401,"network180","MI","Thresholds Inc.",1100,"9/16/2011","Theft","Paper",2014-03-24,"",2011-09-16,NA,2011
"403",402,"Premier Imaging","NC","",551,"9/14/2011","Unknown","Paper",2014-01-23,"A newly hired employee impermissibly took patient registration documents home. The records taken included the protected health information of 551 patients.  The information at issue included names, addresses, birth dates, social security numbers, and driver's license numbers. As a result, the CE terminated the employee, provided notice to the affected individuals, amended registration procedures, implemented additional safeguards for such information, and offered identity theft protection to the affected individuals.

",2011-09-14,NA,2011
"404",403,"The Good Samaritan Hospital of Cincinnati, Ohio","OH","Pitney Bowes Management Services, Inc.",1089,"9/3/2011","Theft","Desktop Computer",2014-03-24,"",2011-09-03,NA,2011
"405",404,"Bethesda Hospital, Inc.","OH","Pitney Bowes Management Services, Inc.",946,"9/3/2011","Theft","Desktop Computer",2014-03-24,"",2011-09-03,NA,2011
"406",405,"Julie A. Kennedy, D.M.D., P.A.","FL","",2900,"9/30/2011","Theft","Network Server",2014-01-23,"",2011-09-30,NA,2011
"407",406,"KCI USA, Inc.","TX","",567,"9/8/2011","Theft","Other Portable Electronic Device, Other",2014-01-23,"",2011-09-08,NA,2011
"408",407,"Lebanon Internal Medicine Associates","PA","",55000,"9/10/2011","Improper Disposal","Network Server",2014-01-23,"",2011-09-10,NA,2011
"409",408,"St. Joseph Medical Center","MD","",5000,"9/11/2011","Theft","Other, Paper",2014-03-24,"",2011-09-11,NA,2011
"410",409,"TRICARE Management Activity (TMA)","VA","Science Applications International Corporation (SA",4900000,"9/13/2011","Loss","Other",2014-01-23,"",2011-09-13,NA,2011
"411",410,"UCLA Health System","CA","",2761,"9/6/2011","Theft","Other Portable Electronic Device, Other",2014-01-23,"",2011-09-06,NA,2011
"412",411,"Logan County Emergeny Ambulance Service Authority","WV","",12563,"10/1/2011","Theft, Loss","Laptop",2014-01-23,"",2011-10-01,NA,2011
"413",412,"Lawrence Memorial Hospital","KS","Mid Continent Credit Services, Inc.",8275,"09/20/2011 - 10/28/2011","Unauthorized Access/Disclosure, Other","Other",2014-04-23,"",2011-09-20,2011-10-28,2011
"414",413,"Sutter Medical Foundation","AL","",943434,"10/15/2011","Theft","Desktop Computer",2014-01-23,"",2011-10-15,NA,2011
"415",414,"Medcenter One","ND","",650,"10/21/2011","Theft","Laptop",2014-01-23,"",2011-10-21,NA,2011
"416",415,"Dallas County Hospital District dba Parkland Health & Hospital System","TX","",2464,"9/5/2011","Unauthorized Access/Disclosure","Electronic Medical Record, Paper",2014-01-23,"",2011-09-05,NA,2011
"417",416,"University of Kentucky UK HealthCare","KY","",878,"9/25/2011","Loss","Other Portable Electronic Device",2014-01-23,"",2011-09-25,NA,2011
"418",417,"State of Tennessee Sponsored Group Health Plan","TN","",1770,"10/6/2011","Unauthorized Access/Disclosure","Paper",2014-01-23,"An equipment operator at the state's postal facility set the machine to insert four (4) pages per envelope instead of one (1) page per envelope, which caused the PHI of four individuals to be sent to one address per envelope.  The error affected approximately 1770 enrollees. The letters contained information such as names, addresses, birth dates, and social security numbers. As a result, the CE retrained the employee, submitted a breach report to HHS, provided notice to the affected individuals, notified the media, created a toll-free number for information regarding the incident, posted notice on its website, modified policies to remove the SSN on templates for future mailings, and offered identity theft protection to the affected individuals. Following the OCR investigation, the CE provided reviewed its policies and procedures to ensure adequate safeguards are in place. 

",2011-10-06,NA,2011
"419",418,"Cleveland Clinic Florida","FL","",772,"10/3/2011","Loss","Other",2014-04-23,"",2011-10-03,NA,2011
"420",419,"Jay C. Platt, DDS","IN","",10705,"10/6/2011","Theft","Other",2014-03-24,"",2011-10-06,NA,2011
"421",420,"Rite Aid Corporation ","PA","",2900,"10/7/2011","Other","Paper",2014-01-23,"",2011-10-07,NA,2011
"422",421,"Advanced Occupational Medicine Specialists","IL","Blue Vantage Group",7226,"10/12/2011","Unauthorized Access/Disclosure","Network Server",2014-01-23,"",2011-10-12,NA,2011
"423",422,"Open MRI of Chicago","IL","Nation Wise Machine Buyers",2000,"9/6/2011","Improper Disposal","Paper",2014-01-23,"",2011-09-06,NA,2011
"424",423,"University of Nebraska Medical Center","NE","",611,"11/15/2011","Theft","Paper",2014-04-23,"",2011-11-15,NA,2011
"425",424,"Roberts S. Smith M.D. Inc.","GA","",17000,"10/17/2011","Theft","Laptop",2014-01-23,"",2011-10-17,NA,2011
"426",425,"Paul C. Brown, MD, PS","WA","",4693,"10/14/2011 - 10/17/2011","Theft","Other",2014-02-14,"",2011-10-14,2011-10-17,2011
"427",426,"Molina Healthcare of California","CA","",11081,"9/23/2009","Other","Paper",2014-01-23,"",2009-09-23,NA,2009
"428",427,"Aegis Sciences Corporation","TN","",2185,"11/22/2011","Theft","Laptop, Other Portable Electronic Device",2014-04-23,"OCR opened an investigation of the covered entity (CE), Aegis Science Corp., after the CE reported that a laptop computer and unencrypted external hard drive containing the electronic protected health information (ePHI) of 2,185 individuals were stolen from a workforce member's vehicle.  The ePHI included social security numbers, driver's license numbers, and other demographic information, as well as bank account information of fourteen individuals and credit card information of three individuals.  Upon discovering the breach, the CE filed a police report and hired a private investigator to recover the stolen items.  The CE also initiated plans to encrypt laptops, revise security procedures, retrain employees, and offer credit monitoring to affected individuals.  As a result of OCR's investigation, the CE completed a security risk analysis and risk management report and implemented new security policies and procedures to ensure adequate safeguards to protect ePHI.  The CE also provided media notification in the two localities with greater than 500 individuals affected.  Additionally, the CE encrypted all employee computers and removable media containing ePHI and retrained employees on the CE's confidentiality and security policies.",2011-11-22,NA,2011
"429",428,"Soundpath Health, Inc","WA","",7581,"11/22/2011","Theft","Laptop",2014-02-14,"",2011-11-22,NA,2011
"430",429,"Concentra Health","TX","",870,"11/30/2011","Theft","Laptop",2014-01-23,"",2011-11-30,NA,2011
"431",430,"Sleep HealthCenters LLC","MA","",2988,"11/23/2011","Theft","Laptop",2014-03-13,"",2011-11-23,NA,2011
"432",431,"Smile Designs","FL","",1670,"12/1/2011","Theft","Desktop Computer, Network Server",2014-01-23,"",2011-12-01,NA,2011
"433",432,"PBH","NC","Alamance Caswell Local Management Entity",50000,"11/15/2011","Unauthorized Access/Disclosure, Other","Network Server, E-mail",2014-01-23,"",2011-11-15,NA,2011
"434",433,"CardioNet, Inc","PA","",1300,"11/10/2011","Theft","Laptop",2014-01-23,"",2011-11-10,NA,2011
"435",434,"MDwise, Inc.","IN","RightNow Technologies",2700,"2/10/2011","Unauthorized Access/Disclosure","Other",2014-03-24,"",2011-02-10,NA,2011
"436",435,"Ford Motor Company","MI","WageWorks, Inc.",1700,"1/3/2012","Other","Paper",2014-03-24,"",2012-01-03,NA,2012
"437",436,"Foundation Medical Partners","NH","",771,"11/19/2011 - 12/01/2011","Theft","Paper",2014-06-02,"Without permission from the covered entity (CE), an employee provided a list of patient's names to a local counseling center as the employee was leaving the CE to begin employment at the new counseling center in an attempt to coordinate care of the patients she was treating.  The list, containing the PHI of approximately 771 individuals, included names, dates of birth, addresses, phone numbers, names of the insurance carriers, and facility codes.  Following the disclosure, the CE provided breach notification to HHS, the media, and all individuals affected and sanctioned the former employee for violating its policies and procedures. The CE also changed its procedures for list management.  The CE sent a reminder to all of its health care providers regarding the handling of PHI and made plans to provide HIPAA compliance information in a quality assurance newsletter.",2011-11-19,2011-12-01,2011
"438",437,"Kansas Department on Aging","KS","",7757,"1/11/2012","Theft","Laptop",2014-01-23,"",2012-01-11,NA,2012
"439",438,"Delta Dental of California","CA","",11646,"12/22/2011 - 12/23/2011","Other","Paper",2014-01-23,"",2011-12-22,2011-12-23,2011
"440",439,"Muskogee Regional Medical Center","OK","",844,"12/5/2011","Loss","Other",2014-01-23,"",2011-12-05,NA,2011
"441",440,"Department of Medical Assistance Services","VA","ACS, Affiliated Computer Services, Inc., A Xerox Company",1444,"11/02/2011 - 11/16/2011","Unauthorized Access/Disclosure, Other","Paper",2014-01-23,"",2011-11-02,2011-11-16,2011
"442",441,"Oldendorf Medical Services, PLLC","NY","",549,"1/17/2012","Theft","Laptop",2014-06-02,"OCR opened an investigation of the covered entity (CE) after it reported two unencrypted laptops were stolen that contained the electronic protected health information (ePHI) of 549 individuals.  The ePHI included names, dates of birth, diagnostic test results, and social security numbers.  Upon discovery of the breach, the CE filed a police report to recover the stolen items.  As a result of OCR's investigation, the CE installed security cameras and new door locks and changed the codes to the outside entrance keypad lock.  The CE also encrypted laptop computers. ",2012-01-17,NA,2012
"443",442,"St.Vincent Physician Network","IN","",1423,"12/01/2010-11/21/2011","Theft, Unauthorized Access/Disclosure","Paper",2014-03-24,"",2010-12-01,2011-11-21,2010
